SKU,Product ID,Product Title,Regular Price,Stock Qty,Status,Sort Order,Sale Price,Short Description,Stock Status,Weight (kg),Length (cm),Width (cm),Height (cm),Description,Featured Image URL,Gallery Image URLs,Product Type,Categories,Tags,Parent SKU,Variation Attributes,Color,Size,Row Type
TSH-001,,Classic Cotton T-Shirt,599,80,publish,1,499,Soft cotton everyday tee.,instock,0.25,28,22,2,Comfortable crew neck t-shirt for daily wear.,https://picsum.photos/seed/ss-tshirt-001/800/800,"https://picsum.photos/seed/ss-tshirt-001-g1/800/800, https://picsum.photos/seed/ss-tshirt-001-g2/800/800",simple,"T-Shirts, Men's Wear","cotton, casual, summer",,,,,Simple product
MUG-001,,Ceramic Coffee Mug,349,120,publish,2,299,350ml ceramic mug with handle.,instock,0.45,12,9,10,Perfect for coffee and tea. Dishwasher safe.,https://picsum.photos/seed/ss-mug-001/800/800,https://picsum.photos/seed/ss-mug-001-g1/800/800,simple,Kitchen,"mug, ceramic, gift",,,,,Simple product
BOTTLE-001,,Steel Water Bottle 1L,799,60,publish,3,699,Insulated stainless steel bottle.,instock,0.38,25,8,8,Keeps drinks cold 24h and hot 12h.,https://picsum.photos/seed/ss-bottle-001/800/800,"https://picsum.photos/seed/ss-bottle-001-g1/800/800, https://picsum.photos/seed/ss-bottle-001-g2/800/800",simple,Outdoor,"bottle, steel, sports",,,,,Simple product
WALLET-001,,Leather Bifold Wallet,1299,35,publish,4,1099,Genuine leather bifold wallet.,instock,0.15,11,9,2,Multiple card slots.,https://picsum.photos/seed/ss-wallet-001/800/800,https://picsum.photos/seed/ss-wallet-001-g1/800/800,simple,Accessories,"wallet, leather, men",,,,,Simple product
HOODIE-01,,Premium Cotton Hoodie,,,publish,5,,Warm fleece-lined hoodie.,instock,0.55,35,30,8,Variable parent — Color/Size columns.,https://picsum.photos/seed/ss-hoodie-parent/800/800,"https://picsum.photos/seed/ss-hoodie-pg1/800/800, https://picsum.photos/seed/ss-hoodie-pg2/800/800",variable,Hoodies,"hoodie, winter, cotton",,,"red,black","s,m",Variable (main)
HOODIE-01-RED-S,,Hoodie Red Size S,1499,15,publish,6,1299,Red hoodie Small.,instock,0.52,35,30,8,Variation row.,https://picsum.photos/seed/ss-hoodie-red-s/800/800,,,,,HOODIE-01,,red,s,Variation (option)
HOODIE-01-BLK-M,,Hoodie Black Size M,1499,20,publish,7,1349,Black hoodie Medium.,instock,0.54,35,30,8,Variation row.,https://picsum.photos/seed/ss-hoodie-blk-m/800/800,,,,,HOODIE-01,,black,m,Variation (option)
SHOE-01,,Running Sneaker Pro,,,publish,8,,Lightweight running shoe.,instock,0.7,32,12,12,Variable parent.,https://picsum.photos/seed/ss-shoe-parent/800/800,"https://picsum.photos/seed/ss-shoe-pg1/800/800, https://picsum.photos/seed/ss-shoe-pg2/800/800",variable,Footwear,"shoes, running, sports",,,"blue,red","s,m,l",Variable (main)
SHOE-01-BLU-S,,Running Sneaker Blue S,2999,10,publish,9,2799,Blue size S.,instock,0.68,32,12,12,Variation.,https://picsum.photos/seed/ss-shoe-blu-s/800/800,,,,,SHOE-01,,blue,s,Variation (option)
SHOE-01-RED-M,,Running Sneaker Red M,2999,8,publish,10,2799,Red size M.,instock,0.69,32,12,12,Variation.,https://picsum.photos/seed/ss-shoe-red-m/800/800,,,,,SHOE-01,,red,m,Variation (option)
